smiles
OS(C)(=O) =O .Cl .Cl .Cl .Cl c4 n1) o c3 c2) C [C@@H]2 C1 =O c2ccccc2 1 .Cl .Cl .Cl .Cl .Cl .Cl OC N )C(=O)N C2 =O) C(=O)N (C) [C@@H]( CC(C) C) C(=O)N (C) [C@@H]( C(C)C) C(=O)N 1C 1 I +] (=O) [O-] C O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 =C 2 [C@H]1 c1 Cl) c1 =O .Cl F c(C) cccc 1C 1 .Cl 4 (C) (N) ( 4) c(Cl) cn 1 I ] (C) (N) ( C#N) c5 cccc c1 ) c1 =O .Cl .Cl 4 (C) (N) ( c1ccc( F) cc 6 2) CC ( C 4) c(Cl) cn 1 .Cl c3cc [C@@H](C) C c4cccc c(- c1cccc( Cl) O 1 I ] (C) [C@@H]1 OC(=O) CCCC NC(=O) [C@@H]2 C1 =O .Cl 4
/C=C\ n1 cn c(- c2cc(C(F)(F)F) cc(C(F)(F)F) c2) n1 )N N c1cn cc n1 2 n1 )N N C1 1 .Cl 1 CC =C 2 C(=O) C(C)(C)[C@@H](O) C1 CCC(=O)N [C@@H]( CCC(=O)N [C@@H]( CCC(=O)N [C@@H](CC C(=O)O) C(=O)O) C(=O)O) C(=O)O) C(=O)O) [C@@]1 (O) [C@H]2 OC(=O) [C@@]1 (C) O 1 .Cl CC(=O)O) CCCC [C@H]( C(=O)N[C@@H](C c2ccccc2) C[C@H](O) CN ) cc c1 Cl) c1 O 1 .Cl [C@H](NC(=O) CNC(=O)c1cc( Cl) cc 6 ) c1 F C(F)(F) c1ccc( F) cc c1ccc( F) cc c1 Cl) cc n1 2 CCCC1 =O .Cl c4 ncc( C#N) cc2) CC1 ( CC(=O)O) CCCC NC(=O) F C(F)(F) CC1 ( c2ccc( Cl) cc( Cl) c1 F c1cc c2c( c1 =O .Cl (O)( CC(=O)O) O 1 .Cl C#N) c5 cccc n c32) C1 =O .Cl c(N) c1 F Cl) c1
OS(C)(=O) =O .Cl =O .Cl .Cl [C@@H](C) c5 ) ncn c4 [nH] 3) cc2) CC1 (C) (C)C) cccc3 nc2 - 1 .Cl .Cl .Cl c2) cn 1 OC(=O) [C@@H]( CCC(=O)N [C@@H]( n2 [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) CC(=O) C=C 1 .Cl [C@H]1 c1ccc( F) cc1) c1cc( C(F)(F)F) c1 c(O) cc( Br) cnc1 N) c1 =O .Cl 1) [C@H]1 C(=O)N[C@@H](CC (N) ( c2ccc( Cl) O [C@H]3 [C@@H](O) C [C@@H]3 [C@@H](C) C(=O) C [C@]2(C) [C@@H]( C(C)C) C2 CC OCC 3 )CC 1 CCCC1 =O .Cl F NC(=O)C NC(=O)[C@H](C c4ccc(O)cc4) NC(=O)[C@H](Cc4ccccc4) NC(=O) c1cccc( c(N 3 )CC 1 .Cl c4 CO 1 OC(=O) CCCC (C)C) cccc3 3 )CC 1 CC OCC CCN(C)
/ C(=O)O[C@H]( C(=O)N (CCCl)N =O) c(N) n1 ) C) cc1) c1ccccc1 ) @ C 3) n1 c2 3 )CC 1 CCCC1 =O .Cl . [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O N(C) [C@@H]( c4 O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) CC(=O) N(C) [C@@H]( CC(C) C) /C=C/ c3ccccn3) s2) C(C)C) C(=O)N[C@@H](C c2ccccc2) C[C@H](O) N )CC 1 .Cl .Cl .Cl 3) c2 3) c2 F) cc 6 F) [C@H]1 c1ccc( F) cc1) c1cc c2c( c1 F) cc c1 =O .Cl c2cc(C(F)(F)F) cc(C(F)(F)F) c1 F Cl) O 1 OC(=O) C( C [C@@H]3 [C@@H](C) C [C@@H]3 [C@@H](OC) [C@@H]( CC(C) C) O C2 CC OCC 3) n1 2 [C@H](OC(C)=O) C [C@@H]3 C [C@@H]3 [C@@H](OC) [C@@H]( O
OS(C)(=O) =O .Cl CO)CO) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =O .Cl .Cl c2ccc(N) cc2) (C) [C@H]3 [C@@H](O) C[C@@] 2 1C 1 .Cl [C@@H]2O[C@H](CO) [C@@H](O) 3 c2) cn 1 .Cl 4C) C(=O)N N( [C@@H](CC (C)C) CC OCC 3) C(=O)N (C) (N) ( c1cc O 4) cc3) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 =C 2 [C@H](OC(C)=O) C [C@@H]3 CCC [C@H]3 [C@@H](O) C [C@@H]2 C1 =O .Cl ncc( [C@@] (C) (N) =O)C(=O)N[C@@H](C c2ccccc2 1 =C 2 =O .Cl c4 cc 6 cc( Cl) c1 =O .Cl c3ccc( [C@@H] 4 (C) [C@@H]( CC(C) C) OCO 3 )CC 1 =C . CS(=O)(=O) O 1 OC(=O) C(=O)O) [C@H]3 O[C@H]( CC [C@@H]1 c1 F c1cc( C(F)(F)F) c1 =O .Cl c4 c2ccc( Cl) c1 F) cn 4) cc23)c1 .Cl c2n [nH]c( =O) c1
OS(C)(=O) =O .Cl O)CC (O)( CC(=O)O) .O= S(=O) (O) O 3) C2 .Cl c3 c3ccc( F) cc1 .O=C( O)CC (O)( CC(=O)O) C(=O)O C [C@]2(C) CC [C@@H]1 C C(=O)O [C@@H]2 C(=O)N .Cl c3ccc( [C@@H]1 C(=O)N (C) [C@@H]( C(C)C) C(=O)N 1C 1 I ] ) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (N) ( c1ccc( F) N )CC 1 I ] (C) (N) ( c4ccc( Cl) O 1 .Cl .Cl c4 ncc( n1 2 C(=O) CO C( CC(=O)O) C(=O)O C( C [C@@H]3 [C@@H](OC) [C@@H]( CCCC CCC [C@H]5 O [C@H]3 O)cc c4 n 5 )CC4) c4ccccc3 4 (C) (C)C) cccc3 nc2 1 .Cl c3ccccc3) cc2) CC1 ( c(- c2cc c s2) n c2ccccc2 1 C2) c2ccccc2 c1 F) cc c1 =O .Cl .Cl 4
/ C(=O)O)C(C)(C) CC C1 CCCC C1 =O)C 2 =O =O .Cl c3ccccc3) c(- c2cc c3 3) C2 CC c4 c2 )CC 1 =C 2 C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) cc3) n O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (C)C) cccc3 nc2 )CC 1 .Cl .Cl 1) [C@H]1 C(=O)O [C@@H]2 C1 =O .Cl Nc1ccc(F)c( Br) cn 1 I ] (C) [C@H]3 [C@@H](O) C [C@]2(C) [C@@]1 (O) O 1 I ] (C) [C@@H]( CC(C) C) cc1) c1cc( C(F)(F)F) c1 .Cl c4 ncc( Cl) c1 Cl) cc( Cl) cc( [C@@H]1 c1 C(=O)O) [C@@H](C) C C( C [C@@H]3 [C@@H](C) C(=O) CN 2 C(=O) CN 2 C(=O) CO 1 =C 2 C(=O) CO 1
OS(C)(=O) =O .Cl =O .Cl .Cl c( Cl)c( Cl) ncn c4 [nH] 3) cc2) CC1 (C) (C)C) cccc3 nc2 - 1 .Cl .Cl c3ccc( N C( C O) CO C( C (N) ( C1 =O . [C@@H](C) C3 =C . CS(=O)(=O) O C [C@]2(C) O 1 .Cl .Cl .Cl c4 [nH] 1 .Cl c4 O [C@H]3 [C@@H](O) [C@@H]2 C(=O) CO 1 .Cl .Cl .Cl 3) n1 2 [C@H]1 C(=O)N[C@@H](CC )C(=O)N C2 =O) c1 =O .Cl c s2) C(C)C) c5 cccc 1C 1 .Cl [C@@H]2O 3 )CC 1 .Cl .Cl [C@H]1 c1cccc( Cl) [C@H](N) c3ccc( O) nc2 1 .Cl OCO 3 )CC 1 .Cl .Cl .Cl c3ccccc3) C(=O)O [C@@H] 4 (C) (N) ( c2ccc( Cl) O 1 .Cl CCN(C) C [C@]2(C) N1 CC OCC 3) c2 3 )CC
=O)[C@@H](O)[C@H](O) [C@H](O) CO 1) [C@H]1 CO 1 .Cl .Cl [N +] (=O) [O-] C 3) n1 2 [C@H]1 CC [C@@H]1 2) CC =C 2 C(=O) [C@@H]2CC CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) cc3) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl .Cl .Cl .Cl .Cl L i ] (C) (N) ( c2ccc( Cl) O 1 .Cl .Cl .Cl c s2) NC(=O)C [C@@H](C) c4 [nH] 1 OC(=O) CCCC NC(=O) 3) [C@@H]1 c1ccc( F) )C=CCN6CC[C@] 43[C@@H]6 5) C2) c2ccccc2 1 .Cl CCN(C) CC4) c(OC) c2) n c4) n c32) CC1 ( c2ccc( Cl) O [C@H]3 CC Br) cc4 CC - 1 I ] (C) [C@H]3 c4 c2 )CC 1 I ] ) c(=O) [nH] 1 I
OS(C)(=O) =O .Cl c3ccccc3) C(=O)O [C@@H]2 C [C@@H]1 CCC( [C@H]3 c5 c4) ( CO 1 [C@@H]1 cc( Br) c4 3 )CC 1 =C 2 C(=O) [C@@H]2CC CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) cn 2) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] ) c1 F) C(=O)O C2 CC OCC 3) n1 2 (O) O 1 .Cl .Cl .Cl .Cl .Cl .Cl .Cl .Cl .Cl c3ccccc3) C(=O)O C .O=C( O)CC (O)( CC(=O)O) C(=O)O C [C@@H]2 C1 CCC(=O)N N 3 )CC 1 .Cl c s2) n1 2 CC [C@@H]1 C(=O)N[C@H](Cc2ccccc2 )C(=O)N 1 .Cl (F) [C@@H](O) C C( C (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N O c2ncc( Br) cc4 CC [C@@H]1 1C 1 .Cl [C@@H]2O 3 )CC 1 .Cl 4
OS(C)(=O) =O .Cl n( C3 CCN CC3) c2) cnc1 N) c1 c(Cl) ccc( F)c1 Cl 2 (O) O 1 .Cl 1 .Cl c1ccc( F) cc 6 F) [O-] . CS(=O)(=O) O 1 =O .Cl O2) C [C@@H](C) C3 =C . CS(=O)(=O) O [C@H]3 c(N) c1 =O .Cl c3ccccn3) s2) [nH]c( =O) c1 c(Cl) cn 1 .Cl cc(C(F)(F)F) c1 3) n1 2 C(=O) CN 2 1C 1 I ] (C) CC(=O) N(C) [C@@H]( C(C)C) cs 1 .Cl .Cl c3ccccc3) C(=O)O C2 CC c4 c(N 3 )CC 1 .Cl .Cl CC(=O)O) O [C@H]3 [C@@H](O) C [C@H](OC(=O) CC OCC 1) [C@H]1 c1ccc( F) cc )C(=O)N 1 =C 2 C(=O) [C@@H]( C(C)C) cs 1 I ] ) C(=O)N (C) [C@H]3 c4 cc 6 ) c1 F o 1 =C . CS(=O)(=O)
OS(C)(=O) =O .Cl .Cl .Cl .Cl c4 c( [O-]) C( c1ccccc1 .O=C( O)CC (O)( CC(=O)O) C(=O)O C2) C1 C C(=O)O C2 CC =C 2 C(=O) CO 1 .Cl C3 =O) c1 F) [C@@H](CC C(=O)O) C(=O)O) C(=O)O) C(=O)O) C(=O)O) [C@@]1 (O) [C@H]2 OC(=O) [C@@]1 (C) O 1 .Cl .Cl c6 ccc( F) C(=O)O C2 =O) c1 F) c1 ) c1 c(C) cccc c12 .O=C( O)CC (O)( CC(=O)O) C(=O)O [C@H](CO) NC(=O)C c1 F) cc 6 ) c1 1 .Cl Cn1c( CCCC N1 CC c4 c2 3 )CC 1 I ] (C) [C@@H]( CCC(=O)N NC(=O) P(=O)( N )CC 1 .Cl .Cl c2ccc(N) cc2) CC1 ( C#N) c5 c(- c2ccc( Cl) cc( CCCC c(- c2ccc( Cl) O C2 CC OCC 1) C(=O)O C2) c2ccccc2 c1 F) cc2 F) cc2 3 2
OS(C)(=O) =O .Cl .Cl .Cl .Cl c3ccccc3) c2ccccc2 c1 =O .Cl [C@H](O)C [C@H](O) C1 =O [C@@H]1 c1 ) ( CC(=O)O) CCCC CCC NC(=O)C c1 cc2 2 C(=O) [C@@H]( O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) CC(=O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (C)C) cccc3 nc2 )CC 1 .Cl .Cl .Cl ] (C) (N) ( c1ccc( F) cn 1 I ] (C) [C@@H]( O 1 I ] ) c1 =O .Cl c3ccc( c s2) c1 =O .Cl c3ccc( NC(=O)C NC(=O)[C@H](C c2cc [nH] 1 I ] ) c1 F) cc 6 ) c1 c(Cl) cn 2) C3 CC OCC 3) c2 )CC 1 I ] (C) [C@H]3 [C@@H](O) C C [C@]2(C) [C@@H]( CC(C) C) C(=O)O
